사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2023-03,2호선,0217,잠실새내,48,3,5215,816,17896,9283,63728,18729,89277,29545,56468,31241,37073,25004,34208,27870,35020,31462,34225,35304,31374,37343,35472,42671,38765,49556,40975,66114,44501,92682,33049,65713,29521,38872,27884,34044,26972,32173,14496,18468,2248,5750,0,115,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0218,종합운동장,14,1,1307,804,6447,10152,18731,18447,25340,28583,17785,14994,15402,13480,15612,11990,15107,18280,17392,14238,15373,13652,15928,13589,23718,14667,19789,19200,17695,30155,10917,18794,8366,11162,13480,11071,4919,10901,1619,6173,294,1766,3,119,2,1,0,0,2023-04-03 09:45:30
2023-03,2호선,0219,삼성(무역센터),120,1,4795,5537,7327,41760,15252,148514,21211,365642,22509,258776,25258,119790,37082,86543,46907,77564,63065,84558,77947,71499,102580,61626,131379,57695,224633,63370,324828,64759,163186,37607,120926,19084,110253,15492,69267,12361,20122,7033,2805,4343,0,1190,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0220,선릉,97,1,5168,6441,11624,42157,22886,122275,36064,302906,33803,238548,37077,111551,46765,67756,56382,59352,66362,68557,76727,57728,98647,50889,125234,50554,202908,59216,313433,63198,159634,40117,100791,23296,98132,20314,80812,18515,29475,11271,4247,4714,0,177,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0221,역삼,61,1,3786,8097,9163,41483,16938,159154,28164,398023,25072,333933,25540,141950,34355,74249,42930,63364,51170,70085,61057,55113,81365,48607,104813,45487,225150,54453,294729,62518,168347,39896,98447,23588,93000,19283,64087,16698,24043,10067,3845,3465,1,21,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0222,강남,189,4,9656,11869,18762,55344,41961,161569,68731,316742,55745,323184,54737,154093,70510,108073,86904,102579,101335,117699,113407,104239,139737,99844,170116,109787,252509,143634,327962,192553,221451,117295,172435,60236,200136,47709,183816,40835,85536,25158,14635,7593,6,51,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0223,교대(법원.검찰청),35,0,2956,7406,12027,27167,29251,62786,41353,169163,33537,151341,30704,74771,36126,63642,38287,58114,47585,58918,56986,54240,61565,51591,64806,54378,105203,69586,146594,80814,74853,47958,60347,28056,62685,25206,50996,23467,19391,12844,3376,3928,0,8,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0224,서초,15,0,1738,5618,9618,21974,19903,54221,31016,120990,30151,99052,22903,48280,29486,37017,27289,27043,35782,28783,38091,26692,46063,21880,51022,24547,74353,27765,101618,29596,49371,21037,34101,12305,33352,11653,21390,11278,7155,6535,975,1710,0,2,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0225,방배,1,1,2653,2881,9714,13056,24623,29081,34861,89603,27944,68985,22141,42644,23644,30749,25849,31458,28447,27778,33261,28643,37771,26815,47044,28361,57540,36525,77149,40556,36348,29857,27598,19017,25555,17351,21563,17997,8360,10467,1568,3211,0,8,0,1,0,0,2023-04-03 09:45:30
2023-03,2호선,0226,사당,60,9,12803,4697,27902,35037,80836,51583,105808,75783,82502,60305,53548,50127,47649,61532,53405,61143,56562,55617,62745,56175,67552,66907,71459,90683,84161,132250,104232,180976,73646,127495,68506,74670,77038,68508,70381,65769,38095,41530,6066,11773,6,691,0,0,0,0,2023-04-03 09:45:30
